property_price,locality,bhk,built_up_area,super_built_up_area,carpet_area,price_per_sqft,bathrooms,balconies,floor_number,total_floors,property_age,furnishing_status,parking,facing,amenities_count,possession_status,builder_name,source
15050282.0,Anna Nagar,3,1307,1503,1045,11515.0,3,1.0,1.0,8,10.0,Unfurnished,1.0,West,4.0,Under Construction,Olympia,99acres
4436469.0,Mogappair,2,744,855,595,5963.0,2,0.0,12.0,12,8.0,Furnished,2.0,North-East,9.0,Under Construction,Pacifica,MagicBricks
12996516.0,ECR,3,1398,1607,1118,9297.0,2,0.0,2.0,2,4.0,Furnished,1.0,South,9.0,Ready to Move,Olympia,MagicBricks
8789311.0,ECR,2,1162,1336,929,7564.0,2,2.0,6.0,6,3.0,Semi-Furnished,0.0,North-West,11.0,Under Construction,TVH,99acres
6117445.0,Navalur,2,868,998,694,7048.0,2,1.0,0.0,4,4.0,Semi-Furnished,1.0,North-East,6.0,Ready to Move,Appaswamy,MagicBricks
10736300.0,Perungudi,2,1257,1445,1005,8541.0,2,0.0,6.0,6,7.0,Semi-Furnished,2.0,North-East,9.0,Ready to Move,Appaswamy,MagicBricks
10440868.0,Porur,3,1356,1559,1084,7700.0,3,1.0,5.0,6,2.0,Semi-Furnished,1.0,North-West,8.0,Ready to Move,Casa Grande,99acres
12103348.0,Adyar,2,1021,1174,816,11854.0,1,1.0,3.0,4,6.0,Unfurnished,1.0,North-East,8.0,Ready to Move,Doshi,MagicBricks
14517273.0,Navalur,4,1756,2019,1404,8267.0,4,1.0,8.0,8,6.0,Unfurnished,1.0,North-West,10.0,Ready to Move,TVH,MagicBricks
7214766.0,Perungudi,1,738,848,590,9776.0,1,2.0,0.0,6,8.0,Semi-Furnished,1.0,South,11.0,Ready to Move,Doshi,Housing.com
5878302.0,Kolathur,2,1012,1163,809,5809.0,1,0.8,3.0,6,8.0,Unfurnished,0.0,North,7.0,Ready to Move,Olympia,99acres
12526881.0,Velachery,3,1332,1531,1065,9405.0,2,1.0,3.0,6,1.0,Semi-Furnished,1.0,South-West,4.0,Ready to Move,Pacifica,99acres
22345902.125,T Nagar,4,1620,1862,1296,14446.0,4,1.0,0.0,6,12.0,Semi-Furnished,2.0,South-West,2.0,Ready to Move,Appaswamy,99acres
7064763.0,OMR,2,1075,1236,860,6572.0,2,1.0,8.0,8,2.0,Furnished,1.0,West,10.0,Ready to Move,Doshi,MagicBricks
5263801.0,Chromepet,2,1104,1269,883,4768.0,2,1.0,5.0,6,2.0,Unfurnished,0.0,West,6.4,Under Construction,Akshaya,Housing.com
7187427.0,Sholinganallur,2,1092,1255,873,6582.0,2,1.0,4.0,6,0.0,Furnished,1.0,West,3.0,Ready to Move,Pacifica,99acres
5451085.0,Tambaram,2,1016,1168,812,5365.0,2,1.0,0.0,8,25.0,Furnished,1.0,North-West,4.0,Ready to Move,Ramaniyam,MagicBricks
10515575.0,ECR,2,1181,1358,944,8904.0,2,1.0,1.0,16,3.0,Semi-Furnished,1.0,South,6.0,Under Construction,Mahindra,99acres
4931468.0,Tambaram,2,950,1092,760,5191.0,2,1.0,2.0,8,4.0,Semi-Furnished,2.0,North,5.0,Ready to Move,Mahindra,99acres
7882721.0,Ambattur,3,1403,1613,1122,5618.0,3,2.0,10.0,12,13.0,Semi-Furnished,1.0,North,8.0,Under Construction,Olympia,MagicBricks
10719457.0,Pallikaranai,3,1472,1692,1177,7282.0,3,1.0,2.0,2,6.0,Unfurnished,1.0,North,5.0,Ready to Move,Mahindra,99acres
5977452.0,Ambattur,2,1054,1212,843,5671.0,2,0.0,10.0,16,0.0,Semi-Furnished,2.0,North-East,4.0,Under Construction,TVH,99acres
15019100.0,Thoraipakkam,3,1748,2010,1398,8592.0,2,2.0,3.0,6,12.0,Furnished,1.0,South-East,7.0,Ready to Move,TVH,Housing.com
9349503.0,Sholinganallur,2,1044,1200,835,8955.0,1,1.0,4.0,12,0.0,Unfurnished,2.0,South-West,8.0,Ready to Move,Radiance,99acres
4747204.0,Kolathur,2,917,1054,733,5177.0,2,1.0,14.0,16,6.0,Unfurnished,1.0,South-East,3.0,Ready to Move,Mahindra,99acres
8001489.0,Porur,2,1004,1154,803,7970.0,2,0.0,5.0,6,2.0,Unfurnished,1.0,South-East,8.0,Ready to Move,Ramaniyam,99acres
10518254.0,Porur,3,1440,1655,1152,7304.0,3,2.0,5.0,12,6.0,Furnished,1.0,South-West,9.0,Ready to Move,TVH,99acres
7824377.0,Pallikaranai,2,1229,1413,983,6366.0,1,2.0,6.0,8,1.0,Semi-Furnished,1.0,North-East,11.0,Ready to Move,TVH,MagicBricks
8182967.0,Guindy,2,968,1113,774,8453.0,2,1.0,2.0,8,1.0,Semi-Furnished,1.0,South-West,4.0,Ready to Move,Mahindra,MagicBricks
6107725.0,OMR,2,943,1084,754,6477.0,2,0.0,4.0,12,8.0,Unfurnished,1.0,West,4.0,Under Construction,Pacifica,Housing.com
4869812.0,Pallikaranai,2,948,1090,758,5137.0,2,1.0,0.0,8,0.0,Unfurnished,1.0,North,9.0,Ready to Move,Casa Grande,MagicBricks
4092913.0,Pallikaranai,1,595,684,476,6879.0,1,1.0,9.0,16,9.0,Unfurnished,1.0,North-West,7.0,Ready to Move,Akshaya,Housing.com
11225857.0,Sholinganallur,3,1244,1430,995,9024.0,3,0.0,0.0,4,7.0,Unfurnished,2.0,North-West,3.0,Ready to Move,Casa Grande,MagicBricks
5386409.0,Thoraipakkam,2,757,870,605,7115.0,2,1.0,3.0,12,7.0,Semi-Furnished,0.0,South,4.0,Under Construction,Casa Grande,MagicBricks
6844862.0,Pallikaranai,3,1210,1391,968,5657.0,2,1.0,1.0,12,0.0,Semi-Furnished,0.0,North,7.0,Under Construction,Casa Grande,99acres
8134362.0,Medavakkam,3,1427,1641,1141,5700.0,3,1.0,1.0,4,6.0,Unfurnished,1.0,South-East,6.0,Ready to Move,Pacifica,99acres
15301188.0,Anna Nagar,3,1371,1576,1096,11161.0,3,1.0,7.0,8,9.0,Unfurnished,0.0,South-West,10.0,Ready to Move,Mahindra,Housing.com
22321194.0,Velachery,4,2241,2577,1792,9960.0,4,0.0,5.0,6,3.0,Semi-Furnished,2.0,West,11.0,Under Construction,TVH,Housing.com
6103253.0,Pallikaranai,2,1058,1216,846,5769.0,2,1.0,6.6,12,10.0,Semi-Furnished,2.0,South-West,5.0,Ready to Move,Casa Grande,Housing.com
5624947.0,ECR,2,700,804,560,8036.0,2,1.0,3.0,8,2.0,Unfurnished,1.0,West,2.0,Ready to Move,Mahindra,99acres
21042471.0,Perungudi,4,2615,3007,2092,8047.0,4,1.0,4.0,12,3.0,Semi-Furnished,1.0,South-East,8.0,Ready to Move,Doshi,99acres
3423783.0,Ambattur,1,587,675,469,5833.0,1,2.0,1.0,2,7.0,Furnished,1.0,North-East,6.0,Ready to Move,Akshaya,MagicBricks
8338498.0,Kolathur,3,1350,1552,1080,6177.0,3,1.0,4.0,6,1.0,Unfurnished,1.0,West,10.0,Ready to Move,Ramaniyam,MagicBricks
7391315.0,Sholinganallur,2,908,1044,726,8140.0,2,1.0,0.0,4,2.0,Furnished,1.0,North-West,9.0,Ready to Move,Olympia,Housing.com
12017263.0,Medavakkam,4,1942,2233,1553,6188.0,4,1.0,0.0,8,0.0,Semi-Furnished,1.0,North,6.0,Ready to Move,Mahindra,MagicBricks
18279816.0,Guindy,4,2141,2462,1712,8538.0,4,0.0,9.0,12,1.0,Semi-Furnished,1.0,South-West,11.0,Under Construction,Pacifica,MagicBricks
6893919.0,OMR,2,1032,1186,825,6680.0,1,1.0,1.0,16,12.0,Semi-Furnished,1.0,North-West,6.0,Ready to Move,Doshi,MagicBricks
9333164.0,Medavakkam,3,1626,1869,1300,5740.0,3,1.0,2.0,4,0.0,Semi-Furnished,2.0,North-West,6.0,Under Construction,Appaswamy,99acres
14784198.0,Adyar,3,1178,1354,942,12550.0,3,0.0,0.0,4,3.0,Semi-Furnished,1.0,North-East,6.0,Ready to Move,Pacifica,Housing.com
14035455.0,T Nagar,2,1068,1228,854,13142.0,2,1.0,0.0,4,0.0,Semi-Furnished,2.0,North-West,6.0,Ready to Move,Ramaniyam,99acres
22345902.125,Nungambakkam,3,1831,2105,1464,14446.0,3,1.0,4.0,8,11.0,Semi-Furnished,1.0,South-East,8.0,Ready to Move,Pacifica,Housing.com
8439283.0,ECR,2,1027,1181,821,8217.0,2,1.0,3.0,12,1.0,Semi-Furnished,1.0,North,6.0,Ready to Move,TVH,99acres
7092741.0,Thoraipakkam,2,862,991,689,8228.0,2,2.0,3.0,6,3.0,Semi-Furnished,2.0,North-West,4.0,Ready to Move,Pacifica,99acres
4304578.0,Medavakkam,2,869,999,695,4953.0,2,1.0,7.0,12,5.0,Furnished,1.0,South-West,7.0,Ready to Move,Mahindra,99acres
7681924.0,Thoraipakkam,2,875,1006,700,8779.0,2,1.0,2.0,6,4.0,Semi-Furnished,2.0,West,5.0,Ready to Move,Ramaniyam,MagicBricks
4438078.0,Ambattur,2,1014,1166,811,4377.0,2,0.0,3.0,6,13.0,Semi-Furnished,1.0,North,8.0,Ready to Move,Olympia,MagicBricks
17098496.0,Velachery,3,1488,1711,1190,11491.0,3,1.0,3.0,8,8.0,Unfurnished,2.0,North-East,7.0,Under Construction,Appaswamy,99acres
5571598.0,Tambaram,2,1026,1179,820,5430.0,2,1.0,1.0,2,10.0,Semi-Furnished,2.0,North,6.0,Ready to Move,Mahindra,99acres
8604019.0,Sholinganallur,2,1034,1189,827,8321.0,2,2.0,11.0,12,10.0,Unfurnished,1.0,North-West,6.0,Under Construction,Akshaya,MagicBricks
8741456.0,Velachery,2,937,1077,749,9329.0,2,1.2,4.0,8,15.0,Semi-Furnished,0.0,South,2.0,Under Construction,Casa Grande,MagicBricks
8816056.0,Pallikaranai,3,1342,1543,1073,6569.0,3,1.0,1.0,6,4.0,Semi-Furnished,2.0,North-West,9.0,Ready to Move,TVH,99acres
11823409.0,Sholinganallur,3,1296,1490,1036,9123.0,3,2.0,9.0,16,6.0,Furnished,1.0,South-West,10.0,Ready to Move,Radiance,MagicBricks
10806648.0,Sholinganallur,3,1552,1784,1241,6963.0,3,0.0,0.0,12,3.0,Semi-Furnished,1.0,North,9.0,Ready to Move,Ramaniyam,MagicBricks
6024656.0,Guindy,1,615,707,492,9796.0,1,1.0,3.0,12,2.0,Semi-Furnished,1.0,South-West,5.0,Ready to Move,Casa Grande,MagicBricks
12018863.0,OMR,3,1397,1606,1117,8603.0,3,0.0,0.0,6,3.0,Semi-Furnished,2.0,South-East,6.0,Under Construction,Radiance,99acres
4633529.0,Tambaram,2,886,1018,708,5230.0,2,1.0,1.0,6,1.0,Unfurnished,1.0,North-East,4.0,Ready to Move,Appaswamy,Housing.com
7311581.0,Kolathur,3,1594,1833,1275,4587.0,3,1.0,6.0,12,0.0,Semi-Furnished,0.0,West,2.0,Ready to Move,Radiance,Housing.com
5094925.0,Medavakkam,2,763,877,610,6677.0,2,2.0,3.0,8,2.0,Unfurnished,1.0,West,4.0,Under Construction,TVH,99acres
7616335.0,Medavakkam,2,1014,1166,811,7511.0,2,1.0,1.0,12,0.0,Semi-Furnished,1.0,West,3.0,Under Construction,Olympia,Housing.com
10470959.0,Porur,3,1550,1782,1240,6755.0,3,1.0,1.0,12,2.2,Semi-Furnished,1.0,North-West,8.0,Ready to Move,Casa Grande,Housing.com
2617205.0,Tambaram,1,485,557,388,5396.0,1,0.0,3.0,4,11.0,Unfurnished,2.0,East,5.0,Ready to Move,Ramaniyam,Housing.com
18997341.0,T Nagar,3,1577,1813,1261,12047.0,3,1.0,1.0,4,1.0,Semi-Furnished,1.0,South-East,8.0,Ready to Move,Appaswamy,99acres
10731468.0,Sholinganallur,3,1493,1716,1194,7188.0,3,0.0,2.0,4,9.0,Semi-Furnished,2.0,North,6.0,Ready to Move,Mahindra,MagicBricks
7135975.0,OMR,3,1014,1166,811,7037.0,3,2.0,1.0,6,5.0,Furnished,1.0,East,4.0,Under Construction,Radiance,MagicBricks
4704211.0,Velachery,1,619,711,495,7600.0,1,1.0,1.0,8,2.0,Semi-Furnished,0.0,West,5.0,Under Construction,Ramaniyam,MagicBricks
16655196.0,Sholinganallur,4,2107,2423,1685,7905.0,4,2.0,1.0,4,2.0,Unfurnished,2.0,North,7.0,Ready to Move,Appaswamy,99acres
9244140.0,Perungudi,2,1041,1197,832,8880.0,2,2.0,3.0,6,0.0,Furnished,1.0,North-West,8.0,Ready to Move,Mahindra,MagicBricks
15277123.0,Nungambakkam,3,1291,1484,1032,11834.0,3,2.0,1.0,4,3.0,Semi-Furnished,1.0,North-West,2.0,Ready to Move,Olympia,MagicBricks
11099090.0,Guindy,2,1201,1381,960,9242.0,2,1.0,12.0,16,16.0,Unfurnished,1.0,South,8.0,Under Construction,Doshi,99acres
3850487.0,Medavakkam,1,671,771,536,5738.0,1,2.0,3.0,4,3.0,Semi-Furnished,0.0,North-West,5.0,Under Construction,Akshaya,MagicBricks
15775282.0,Adyar,3,1350,1552,1080,11685.0,2,2.0,1.0,6,2.0,Furnished,0.0,South,8.0,Ready to Move,Radiance,99acres
19283280.0,Perungudi,4,2135,2455,1708,9032.0,4,1.0,1.0,16,11.0,Semi-Furnished,1.0,South,8.0,Under Construction,Ramaniyam,99acres
11137833.0,Sholinganallur,4,2020,2323,1616,5514.0,4,1.0,9.0,12,0.0,Semi-Furnished,1.0,East,6.0,Ready to Move,Doshi,Housing.com
11997406.0,Adyar,2,904,1039,723,13271.0,2,2.0,0.0,12,1.0,Unfurnished,1.0,North-East,5.0,Ready to Move,Doshi,99acres
7135975.0,OMR,3,1014,1166,811,7037.0,3,2.0,1.0,6,5.0,Semi-Furnished,1.0,East,4.0,Under Construction,Radiance,MagicBricks
6709092.0,Mogappair,2,913,1049,730,7348.0,2,1.0,1.0,8,9.0,Unfurnished,2.0,North-West,11.0,Ready to Move,Pacifica,MagicBricks
14856370.0,T Nagar,2,1099,1263,879,13518.0,2,1.0,4.0,4,6.0,Semi-Furnished,1.0,South-West,4.0,Ready to Move,TVH,99acres
12112792.0,Navalur,3,1354,1557,1083,8946.0,3,1.0,4.0,4,5.0,Semi-Furnished,1.0,North-West,2.0,Under Construction,Radiance,MagicBricks
7675598.0,Guindy,2,800,919,640,9594.0,2,1.0,0.0,12,5.0,Semi-Furnished,2.0,North,7.0,Ready to Move,Olympia,MagicBricks
4045313.0,Tambaram,1,775,891,620,5220.0,1,2.0,14.0,16,18.0,Semi-Furnished,0.0,East,9.0,Ready to Move,Akshaya,MagicBricks
10050075.0,Tambaram,4,1864,2143,1491,5392.0,4,0.0,0.0,6,7.0,Semi-Furnished,0.0,North,5.0,Ready to Move,Casa Grande,Housing.com
14353153.0,Adyar,3,1346,1547,1076,10664.0,2,1.0,5.0,16,7.0,Semi-Furnished,1.0,North,9.0,Ready to Move,TVH,MagicBricks
5062112.0,Pallikaranai,2,814,936,651,6219.0,1,1.0,13.0,16,0.0,Semi-Furnished,1.0,East,4.0,Ready to Move,Casa Grande,99acres
11241966.0,Sholinganallur,3,1512,1738,1209,7435.0,2,1.0,5.0,6,0.0,Unfurnished,1.0,South,4.0,Ready to Move,Mahindra,MagicBricks
6722861.0,Chromepet,3,1442,1658,1153,4662.0,3,1.0,5.0,6,7.0,Unfurnished,1.0,North-West,11.0,Under Construction,Akshaya,MagicBricks
4111183.0,Sholinganallur,1,517,594,413,7952.0,1,1.0,0.0,12,21.0,Semi-Furnished,0.0,South-West,6.0,Ready to Move,Akshaya,MagicBricks
7938548.0,Sholinganallur,2,986,1133,788,8051.0,2,0.0,5.0,6,5.0,Semi-Furnished,2.0,South-West,2.0,Ready to Move,TVH,99acres
6928051.0,Sholinganallur,2,970,1115,776,7142.0,1,0.8,0.0,4,13.0,Semi-Furnished,1.0,East,3.0,Ready to Move,Mahindra,99acres
7677804.0,Mogappair,3,1541,1772,1232,4982.0,3,0.0,1.0,2,11.0,Furnished,0.0,East,11.0,Ready to Move,Appaswamy,99acres
4594763.0,OMR,1,630,724,504,7293.0,1,2.0,10.0,12,2.0,Semi-Furnished,1.0,South-West,9.0,Ready to Move,TVH,MagicBricks
16678271.0,OMR,4,2045,2351,1636,8156.0,4,2.0,2.0,6,23.0,Semi-Furnished,1.0,North-East,10.0,Ready to Move,Akshaya,MagicBricks
12586457.0,Porur,4,1470,1690,1176,8562.0,4,2.0,1.0,6,6.0,Unfurnished,1.0,South-East,7.0,Ready to Move,Olympia,MagicBricks
10059611.0,Adyar,2,779,895,623,12913.0,2,1.0,9.0,16,6.0,Semi-Furnished,1.0,West,10.0,Ready to Move,Olympia,MagicBricks
8041069.0,Mogappair,2,1152,1324,921,6980.0,2,1.0,2.0,2,2.0,Unfurnished,1.0,North-East,7.0,Ready to Move,Doshi,99acres
17131306.0,Anna Nagar,3,1737,1997,1389,9863.0,3,1.0,9.0,12,19.0,Semi-Furnished,1.0,East,11.0,Ready to Move,Pacifica,MagicBricks
22345902.125,Adyar,4,2106,2421,1684,11520.0,4,0.0,0.0,4,8.0,Semi-Furnished,1.0,North,2.0,Ready to Move,Mahindra,Housing.com
6984784.0,Porur,2,928,1067,742,7527.0,1,2.0,1.0,6,7.0,Semi-Furnished,1.0,West,2.0,Ready to Move,Doshi,MagicBricks
7970946.0,Thoraipakkam,2,972,1117,777,8201.0,2,1.0,1.0,8,10.0,Semi-Furnished,2.0,North-West,5.0,Under Construction,TVH,MagicBricks
7502159.0,OMR,3,1273,1463,1018,5893.0,3,1.0,5.0,16,0.0,Furnished,1.0,East,3.0,Ready to Move,Appaswamy,99acres
7078675.0,OMR,2,820,942,656,8633.0,2,0.0,0.0,4,5.0,Unfurnished,0.0,North-East,2.0,Ready to Move,Ramaniyam,99acres
8827772.0,Ambattur,4,1595,1834,1276,5535.0,4,1.0,2.0,6,0.0,Semi-Furnished,1.0,South-East,9.0,Ready to Move,Olympia,99acres
6456744.0,Chromepet,3,1429,1643,1143,4518.0,3,2.0,2.0,6,19.0,Semi-Furnished,0.0,South,4.0,Ready to Move,Pacifica,99acres
13938467.0,ECR,3,1649,1896,1319,8453.0,3,0.0,6.0,16,4.0,Semi-Furnished,1.0,East,7.0,Ready to Move,TVH,Housing.com
3467951.0,Pallikaranai,1,652,749,521,5319.0,1,1.0,5.0,6,3.0,Semi-Furnished,1.0,South,10.0,Ready to Move,Ramaniyam,Housing.com
22345902.125,Adyar,4,2078,2389,1662,10996.0,3,2.0,2.0,8,2.0,Semi-Furnished,1.0,East,2.0,Ready to Move,Mahindra,99acres
10135277.0,Anna Nagar,2,910,1046,728,11138.0,1,1.0,4.0,6,9.0,Semi-Furnished,1.0,West,2.0,Ready to Move,TVH,MagicBricks
13749069.0,Medavakkam,4,2361,2715,1888,5823.0,4,1.0,1.0,6,0.0,Unfurnished,1.0,East,6.0,Under Construction,Akshaya,99acres
7889391.0,Sholinganallur,2,1004,1154,803,7858.0,1,1.0,2.0,6,10.0,Furnished,1.0,North-East,5.0,Ready to Move,Olympia,MagicBricks
6579137.0,Tambaram,3,1335,1535,1068,4928.0,3,0.0,1.0,6,3.0,Furnished,1.0,North-East,5.0,Ready to Move,TVH,99acres
3534071.0,Mogappair,1,556,639,444,6356.0,1,1.0,3.0,8,0.0,Semi-Furnished,1.0,North-East,4.0,Under Construction,TVH,99acres
9102714.0,Navalur,2,1125,1293,900,8091.0,2,1.0,4.0,6,3.0,Furnished,2.0,South-West,10.0,Ready to Move,TVH,Housing.com
10491103.0,Velachery,2,1140,1311,912,9203.0,1,1.0,3.0,4,7.8,Semi-Furnished,2.0,North-West,2.0,Ready to Move,Radiance,99acres
6982661.0,Ambattur,3,1387,1595,1109,5034.0,3,0.0,7.0,12,0.0,Semi-Furnished,1.0,South-East,2.0,Ready to Move,Mahindra,99acres
5471274.0,Perungudi,1,567,652,453,9650.0,1,1.0,8.0,12,3.8,Unfurnished,1.0,South,11.0,Ready to Move,Akshaya,MagicBricks
4902014.0,Kolathur,2,886,1018,708,5533.0,2,1.0,8.0,16,1.0,Semi-Furnished,1.0,North,7.0,Under Construction,Olympia,Housing.com
10057662.0,T Nagar,2,826,949,660,12176.0,2,2.0,13.0,16,3.0,Furnished,2.0,South-West,7.0,Ready to Move,TVH,MagicBricks
19838099.0,T Nagar,3,1534,1764,1227,12932.0,3,1.0,0.0,12,2.0,Semi-Furnished,2.0,North,5.0,Under Construction,Radiance,MagicBricks
8425716.0,Velachery,2,912,1048,729,9239.0,2,1.0,3.0,4,2.0,Semi-Furnished,1.0,South-East,11.0,Ready to Move,Mahindra,MagicBricks
6333722.0,Sholinganallur,1,735,845,588,8617.0,1,1.0,14.0,16,4.0,Semi-Furnished,1.0,North-West,3.0,Ready to Move,Doshi,MagicBricks
4651971.0,Kolathur,2,856,984,684,5435.0,2,0.0,1.0,6,2.0,Furnished,0.0,North,11.0,Ready to Move,Radiance,99acres
10952804.0,Ambattur,4,2312,2658,1849,4737.0,4,0.0,3.0,6,8.0,Semi-Furnished,2.0,North-West,10.0,Ready to Move,Radiance,99acres
7255095.0,Sholinganallur,3,1014,1166,811,7155.0,3,1.0,0.0,16,4.0,Semi-Furnished,2.0,North-West,3.0,Ready to Move,Mahindra,99acres
11030849.0,Velachery,3,1161,1335,928,9501.0,2,1.0,0.0,6,20.0,Unfurnished,1.0,East,9.0,Ready to Move,TVH,MagicBricks
5408117.0,Medavakkam,2,887,1020,709,6097.0,2,2.0,2.0,4,10.0,Furnished,0.0,East,4.0,Under Construction,Doshi,99acres
6903912.0,Mogappair,2,953,1095,762,7244.0,2,2.0,3.0,16,6.0,Semi-Furnished,0.0,West,8.0,Ready to Move,TVH,MagicBricks
7595596.0,Porur,2,1064,1223,851,7139.0,2,1.0,5.0,16,8.0,Furnished,2.0,North-East,7.0,Ready to Move,Ramaniyam,MagicBricks
15798348.0,Sholinganallur,4,2140,2461,1712,7382.0,3,2.0,2.0,8,3.0,Semi-Furnished,1.0,South-East,5.0,Ready to Move,Radiance,99acres
15465334.0,Velachery,3,1578,1814,1262,9801.0,3,1.0,0.0,8,3.0,Unfurnished,1.0,North-West,5.0,Ready to Move,Ramaniyam,99acres
13737531.0,Guindy,3,1526,1754,1220,9002.0,3,1.0,4.0,8,2.0,Unfurnished,2.0,North-East,7.0,Under Construction,Doshi,99acres
16845593.0,Anna Nagar,3,1542,1773,1233,10925.0,3,2.0,4.0,4,0.0,Unfurnished,1.0,West,10.0,Under Construction,Casa Grande,99acres
7636038.0,Sholinganallur,2,989,1137,791,7721.0,2,1.0,3.0,8,0.0,Semi-Furnished,0.0,North,9.0,Ready to Move,Akshaya,MagicBricks
5944522.0,Ambattur,2,1226,1409,980,4849.0,1,1.0,7.0,16,7.0,Furnished,1.0,North,6.0,Under Construction,TVH,MagicBricks
16379380.0,Velachery,3,1587,1825,1269,10321.0,3,2.0,0.0,6,0.0,Semi-Furnished,1.0,South-East,8.6,Under Construction,Akshaya,99acres
3926517.0,Kolathur,2,857,985,685,4582.0,2,0.0,3.0,4,0.0,Semi-Furnished,0.0,North-West,3.0,Ready to Move,Pacifica,99acres
12632320.0,OMR,3,1598,1837,1278,7905.0,3,2.0,0.0,6,7.0,Furnished,1.0,South-East,6.0,Under Construction,Casa Grande,99acres
8517518.0,OMR,3,1249,1436,999,6819.0,3,1.0,11.0,16,5.6,Unfurnished,1.0,North-East,7.0,Ready to Move,Ramaniyam,MagicBricks
14863369.0,T Nagar,3,1428,1642,1142,10409.0,3,1.0,11.0,16,3.0,Unfurnished,2.0,East,3.0,Ready to Move,Ramaniyam,99acres
5531895.0,Pallikaranai,2,955,1098,764,5793.0,1,1.0,0.0,6,1.6,Furnished,1.0,North,6.0,Ready to Move,Appaswamy,Housing.com
10648893.0,Velachery,2,1090,1253,872,9770.0,2,0.0,8.0,16,2.0,Semi-Furnished,1.0,North-West,9.0,Under Construction,Doshi,MagicBricks
3759929.0,Medavakkam,2,708,814,566,5311.0,2,1.0,3.0,6,13.0,Semi-Furnished,2.0,West,2.0,Ready to Move,Doshi,99acres
12009795.0,Perungudi,3,1732,1991,1385,6934.0,3,0.0,4.0,6,6.0,Semi-Furnished,1.0,North-East,8.0,Ready to Move,Pacifica,MagicBricks
14792057.0,Thoraipakkam,3,1728,1987,1382,8560.0,2,1.0,5.0,8,3.0,Semi-Furnished,2.0,South,9.0,Ready to Move,Doshi,MagicBricks
