monthly_rent,deposit,locality,bhk,size_sqft,furnishing_status,preferred_tenant,bathrooms,floor_number,total_floors,amenities_count,source
9555.0,35881.0,Chromepet,2,1128,Semi-Furnished,Both,2,,4,9.0,99acres
13261.0,65857.0,OMR,2,987,Semi-Furnished,Bachelors,2,,8,10.0,Housing.com
16777.0,46176.0,Thoraipakkam,2,950,Unfurnished,,2,3.0,4,5.0,Housing.com
13608.0,59795.0,Medavakkam,2,961,Semi-Furnished,Bachelors,2,4.0,6,2.0,MagicBricks
9836.0,42888.0,ECR,1,541,Semi-Furnished,Bachelors,1,2.0,16,8.0,Housing.com
20568.0,54658.0,Velachery,2,1105,Unfurnished,Bachelors,2,3.0,6,4.0,NoBroker
19959.0,60679.0,Adyar,2,834,Furnished,Bachelors,2,0.0,12,7.0,MagicBricks
29498.0,87260.0,ECR,3,1366,Semi-Furnished,Both,2,4.0,8,4.0,MagicBricks
20798.0,48493.0,OMR,2,1017,Unfurnished,Bachelors,2,0.0,8,9.0,NoBroker
6962.0,22101.0,Medavakkam,1,555,Semi-Furnished,Family,1,0.0,12,10.0,Housing.com
12314.0,51839.0,Tambaram,2,1003,Semi-Furnished,Bachelors,2,4.0,12,2.0,NoBroker
10970.0,53561.0,Mogappair,2,952,Furnished,Bachelors,1,3.0,6,5.0,99acres
22123.0,98452.0,Perungudi,2,1044,Semi-Furnished,Family,2,0.0,6,7.0,Housing.com
14788.0,40857.0,ECR,2,948,Semi-Furnished,Both,2,8.0,12,4.0,99acres
19268.0,60840.0,OMR,3,1116,Semi-Furnished,Family,2,13.0,16,11.0,MagicBricks
21724.0,108497.0,Perungudi,2,959,Semi-Furnished,Family,2,2.0,6,2.0,MagicBricks
11865.0,37166.0,Mogappair,2,987,Semi-Furnished,Both,1,10.0,12,2.0,99acres
26671.0,84957.0,Sholinganallur,3,1420,Semi-Furnished,Family,3,4.0,6,6.0,NoBroker
24157.0,51353.0,Sholinganallur,3,1200,Unfurnished,Family,3,6.0,16,4.0,MagicBricks
12426.0,27740.0,Pallikaranai,2,999,Unfurnished,Family,2,2.0,12,7.0,NoBroker
49491.0,214401.0,Nungambakkam,4,1713,Furnished,Family,4,1.0,6,11.0,MagicBricks
7179.0,17541.0,Pallikaranai,1,480,Unfurnished,Family,1,6.0,8,2.0,99acres
30919.0,63791.0,Perungudi,4,1881,Semi-Furnished,Bachelors,4,4.0,12,11.0,99acres
33192.0,86733.0,Perungudi,4,1812,Semi-Furnished,Family,4,11.0,12,8.0,99acres
12358.0,34909.0,ECR,2,850,Semi-Furnished,Both,2,7.0,12,6.0,99acres
11322.0,43462.0,Pallikaranai,2,857,Semi-Furnished,Bachelors,2,0.0,2,7.0,MagicBricks
9047.0,26607.0,Anna Nagar,1,472,Semi-Furnished,Family,1,5.0,8,3.0,MagicBricks
17053.0,84994.0,Guindy,2,837,Semi-Furnished,Family,2,9.0,12,11.0,99acres
21803.0,73211.0,T Nagar,2,940,Furnished,Family,2,6.0,12,9.0,NoBroker
15694.0,51410.0,OMR,2,871,Unfurnished,Bachelors,2,5.0,6,5.0,MagicBricks
23370.0,59704.0,Sholinganallur,3,1238,Semi-Furnished,Family,3,7.0,8,2.0,Housing.com
15418.0,64423.0,Velachery,2,906,Semi-Furnished,Both,1,4.0,8,2.0,MagicBricks
17946.0,69948.0,OMR,3,1004,Unfurnished,Bachelors,3,6.0,8,6.0,NoBroker
20116.0,99537.0,ECR,3,1308,Semi-Furnished,Bachelors,3,4.0,6,7.0,MagicBricks
18255.0,86342.0,Perungudi,2,863,Unfurnished,Bachelors,2,6.0,8,6.0,99acres
33730.0,124995.0,Adyar,3,1445,Furnished,Bachelors,3,12.0,12,7.0,NoBroker
6175.0,17312.0,Navalur,1,464,Semi-Furnished,Bachelors,1,,12,4.0,Housing.com
22593.0,50313.0,Velachery,2,1035,Unfurnished,Both,2,3.0,12,8.0,Housing.com
8910.0,,Chromepet,2,931,Furnished,Both,1,11.0,12,6.0,99acres
7137.0,30891.0,OMR,2,693,Furnished,Bachelors,2,0.0,6,2.0,99acres
20194.0,78235.0,Thoraipakkam,2,1009,Unfurnished,Family,2,6.0,8,5.0,NoBroker
17488.0,71478.0,Porur,3,1337,Semi-Furnished,Family,3,11.0,12,4.0,MagicBricks
10311.0,24878.0,Mogappair,2,1018,Furnished,Bachelors,2,1.0,4,11.0,99acres
13981.0,31881.0,Ambattur,3,1543,Unfurnished,Bachelors,3,4.0,4,9.0,NoBroker
8983.0,24100.0,Pallikaranai,2,842,Unfurnished,Family,1,8.0,12,11.0,NoBroker
22462.0,66706.0,OMR,3,1364,Furnished,Bachelors,2,1.0,8,11.0,MagicBricks
27088.0,83044.0,Nungambakkam,3,1239,Furnished,Bachelors,3,3.0,16,5.0,NoBroker
11522.0,42418.0,Velachery,2,665,Semi-Furnished,Both,2,0.0,8,5.0,MagicBricks
10367.0,38538.0,Mogappair,2,907,Semi-Furnished,Family,2,3.0,6,9.0,NoBroker
24706.0,71837.0,Velachery,3,1320,Semi-Furnished,Both,3,5.0,6,5.0,NoBroker
9535.0,35101.0,Sholinganallur,1,610,Semi-Furnished,Family,1,8.0,8,4.0,MagicBricks
23299.0,113360.0,Sholinganallur,3,1201,Furnished,,3,,8,9.0,MagicBricks
20146.0,57953.0,OMR,3,1187,Semi-Furnished,Bachelors,3,2.0,6,5.0,NoBroker
10807.0,35471.0,Sholinganallur,1,538,Furnished,Both,1,0.0,2,9.0,99acres
17976.0,55882.0,OMR,2,848,Semi-Furnished,Family,2,6.0,8,3.0,99acres
39160.0,168256.0,Velachery,4,1667,Unfurnished,,3,2.0,2,9.0,NoBroker
17104.0,35058.0,Velachery,3,985,Furnished,Bachelors,3,0.0,6,5.0,99acres
8614.0,32774.0,Kolathur,2,805,Furnished,Family,1,4.0,8,5.0,Housing.com
38561.0,144150.0,Anna Nagar,3,1638,Unfurnished,Family,3,0.0,4,7.0,NoBroker
20016.0,84893.0,Sholinganallur,3,1242,Unfurnished,Family,2,2.0,12,2.0,MagicBricks
16996.0,73329.0,Navalur,2,1112,Semi-Furnished,Both,1,1.0,4,9.0,MagicBricks
7827.0,34211.0,Mogappair,2,673,Semi-Furnished,Both,2,0.0,6,11.0,NoBroker
19545.0,89882.0,ECR,3,1282,Semi-Furnished,Both,3,2.0,12,4.0,99acres
9633.0,,OMR,2,792,Furnished,Family,2,0.0,6,8.0,NoBroker
11801.0,32885.0,Pallikaranai,2,1086,Furnished,Family,2,1.0,12,4.0,99acres
16520.0,48623.0,Medavakkam,3,1379,Furnished,Both,3,8.0,8,8.0,NoBroker
28735.0,97170.0,Navalur,3,1583,Furnished,Family,3,2.0,4,3.0,99acres
14016.0,52723.0,Thoraipakkam,2,1092,Furnished,Family,2,2.0,8,4.0,MagicBricks
48211.0,215968.0,T Nagar,4,1699,Unfurnished,Both,3,1.0,8,3.0,MagicBricks
9139.0,30643.0,Chromepet,2,824,Unfurnished,Bachelors,2,2.0,4,11.0,99acres
15238.0,53257.0,Chromepet,3,1421,Furnished,Family,3,1.0,8,4.0,NoBroker
20301.0,78511.0,OMR,3,1110,Furnished,Bachelors,3,3.0,12,9.0,Housing.com
19975.0,91662.0,Guindy,2,1079,Semi-Furnished,Family,2,2.0,2,5.0,MagicBricks
5783.0,13005.0,Porur,1,516,Semi-Furnished,Bachelors,1,9.0,12,7.0,Housing.com
5035.0,14337.0,Chromepet,1,543,Semi-Furnished,Family,1,2.0,4,2.0,99acres
15422.0,60143.0,Guindy,2,1007,Unfurnished,Both,2,8.0,8,4.0,MagicBricks
9014.0,41386.0,Perungudi,1,509,Semi-Furnished,Bachelors,1,9.0,12,5.0,MagicBricks
17365.0,40431.0,Anna Nagar,2,901,Furnished,Family,1,3.0,8,8.0,NoBroker
5678.0,15570.0,Chromepet,1,606,Unfurnished,Both,1,0.0,2,6.0,MagicBricks
7708.0,19720.0,OMR,1,471,Furnished,Both,1,5.0,6,9.0,MagicBricks
37007.0,145616.0,Sholinganallur,4,1896,Semi-Furnished,,3,1.0,4,,MagicBricks
18366.0,37909.0,Sholinganallur,2,1023,Semi-Furnished,Bachelors,2,7.0,12,11.0,99acres
36925.0,99060.0,Adyar,3,1557,Furnished,Family,3,12.0,12,8.0,NoBroker
39866.0,123699.0,Adyar,3,1412,Unfurnished,Family,3,4.0,12,2.0,MagicBricks
7322.0,31433.0,Navalur,1,587,Unfurnished,Both,1,4.0,4,11.0,Housing.com
12370.0,35605.0,OMR,2,890,Unfurnished,Both,2,4.0,6,,NoBroker
10203.0,40885.0,ECR,2,760,Semi-Furnished,Bachelors,2,4.0,6,9.0,NoBroker
16691.0,74741.0,Guindy,2,934,Semi-Furnished,Both,2,8.0,8,8.0,MagicBricks
17764.0,86026.0,ECR,3,1176,Semi-Furnished,Both,3,2.0,12,8.0,NoBroker
23778.0,117456.0,Velachery,3,1277,Furnished,Both,3,4.0,12,5.0,Housing.com
9897.0,19941.0,OMR,1,558,,,1,2.0,2,4.0,99acres
30992.0,77466.0,OMR,3,1492,Unfurnished,Family,3,7.0,12,6.0,99acres
30349.0,127703.0,Porur,4,2109,Unfurnished,Family,4,6.0,16,3.0,99acres
33722.0,147885.0,Velachery,4,1778,Semi-Furnished,Bachelors,3,2.0,12,11.0,99acres
10106.0,26401.0,Ambattur,2,906,Semi-Furnished,Bachelors,2,3.0,12,3.0,MagicBricks
13337.0,39975.0,Porur,2,993,Furnished,Family,2,2.0,8,7.0,MagicBricks
18922.0,47324.0,OMR,2,954,Semi-Furnished,Both,2,0.0,8,6.0,NoBroker
41625.0,205934.0,Adyar,4,1769,Furnished,Both,3,2.0,6,5.0,99acres
20148.0,85451.0,Thoraipakkam,3,1455,,Bachelors,3,8.0,12,10.0,MagicBricks
31249.0,74830.0,OMR,4,1746,Furnished,Family,4,6.0,6,2.0,MagicBricks
12733.0,47488.0,Kolathur,2,1064,Semi-Furnished,Both,2,4.0,4,10.0,NoBroker
20234.0,51557.0,Velachery,3,1104,Furnished,Family,3,2.0,4,7.0,99acres
14594.0,37636.0,Perungudi,2,849,Furnished,Family,2,6.0,8,6.0,MagicBricks
19240.0,66947.0,OMR,2,988,Furnished,Family,1,6.0,6,7.0,MagicBricks
25002.0,75995.0,Thoraipakkam,3,1499,Semi-Furnished,Both,3,8.0,8,3.0,Housing.com
24741.0,,Sholinganallur,3,1342,Furnished,Both,3,7.0,12,6.0,99acres
11175.0,32416.0,OMR,2,706,Semi-Furnished,Family,2,7.0,12,9.0,99acres
16870.0,,Guindy,2,785,Furnished,Family,2,4.0,6,2.0,99acres
5112.0,12615.0,Chromepet,1,563,Semi-Furnished,Family,1,5.0,16,8.0,99acres
9882.0,,Mogappair,1,662,Unfurnished,Bachelors,1,,8,9.0,99acres
8011.0,31738.0,OMR,1,468,Semi-Furnished,Bachelors,1,1.0,6,4.0,Housing.com
46085.0,195637.0,T Nagar,4,2046,Semi-Furnished,Bachelors,4,2.0,2,7.0,NoBroker
22843.0,110087.0,Guindy,2,1079,Semi-Furnished,Both,2,1.0,6,2.0,Housing.com
8517.0,29402.0,Tambaram,2,803,Semi-Furnished,Both,2,1.0,16,10.0,NoBroker
9163.0,42645.0,Sholinganallur,1,481,Semi-Furnished,Bachelors,1,4.0,4,6.0,99acres
21781.0,51398.0,Guindy,3,1333,Furnished,Family,3,3.0,12,5.0,MagicBricks
22153.0,74784.0,Navalur,4,1852,Furnished,Bachelors,4,6.0,8,7.0,MagicBricks
10682.0,38190.0,Medavakkam,2,787,Unfurnished,Bachelors,2,4.0,8,3.0,99acres
7471.0,20928.0,Chromepet,2,889,Semi-Furnished,Family,2,1.0,8,5.0,99acres
20477.0,87327.0,Guindy,3,1355,Furnished,Bachelors,3,4.0,6,8.0,Housing.com
7126.0,,Pallikaranai,1,595,Furnished,Family,1,0.0,6,11.0,MagicBricks
5637.0,21399.0,Pallikaranai,1,538,Furnished,Family,1,4.0,8,11.0,NoBroker
7167.0,18542.0,Chromepet,2,762,Semi-Furnished,Bachelors,2,2.0,2,5.0,Housing.com
5000.0,11573.0,Pallikaranai,1,468,Semi-Furnished,Family,1,3.0,4,,99acres
25179.0,89521.0,Sholinganallur,3,1181,Unfurnished,Family,3,0.0,8,5.0,99acres
5972.0,25428.0,Navalur,1,555,Semi-Furnished,Both,1,6.0,8,7.0,MagicBricks
13996.0,33137.0,Medavakkam,2,1007,Furnished,Bachelors,2,6.0,6,8.0,NoBroker
15097.0,45338.0,Navalur,2,1023,Semi-Furnished,Bachelors,1,1.0,4,4.0,Housing.com
20024.0,79236.0,Guindy,2,898,Furnished,Family,2,5.0,6,6.0,99acres
13130.0,40952.0,Mogappair,2,984,Furnished,Family,2,1.0,8,4.0,99acres
14937.0,69197.0,ECR,2,971,Unfurnished,Family,2,5.0,16,8.0,MagicBricks
22228.0,98926.0,Guindy,2,959,Furnished,Family,2,0.0,8,11.0,Housing.com
20385.0,81926.0,Thoraipakkam,3,1429,Semi-Furnished,Bachelors,2,15.0,16,2.0,99acres
15794.0,74424.0,ECR,2,997,,Both,1,0.0,6,2.0,99acres
30886.0,140949.0,Navalur,4,2054,Semi-Furnished,,4,3.0,6,3.0,99acres
15177.0,30817.0,Pallikaranai,3,1298,Semi-Furnished,Family,2,2.0,4,6.0,99acres
32702.0,89796.0,Adyar,3,1602,Unfurnished,Bachelors,3,3.0,6,2.0,NoBroker
17002.0,46281.0,ECR,3,1421,Unfurnished,Bachelors,3,3.0,8,4.0,Housing.com
30641.0,105729.0,Adyar,3,1349,Semi-Furnished,Both,3,3.0,12,10.0,NoBroker
21023.0,86252.0,Thoraipakkam,2,969,Furnished,Bachelors,1,3.0,8,3.0,MagicBricks
28298.0,59878.0,ECR,4,1885,Furnished,Bachelors,4,2.0,8,3.0,NoBroker
5000.0,16270.0,Kolathur,1,427,Unfurnished,Both,1,0.0,4,5.0,99acres
5787.0,12559.0,Mogappair,1,462,Furnished,Both,1,7.0,8,,MagicBricks
9049.0,21740.0,Medavakkam,2,781,Furnished,Bachelors,2,6.0,8,11.0,Housing.com
10013.0,37266.0,Kolathur,2,980,Unfurnished,Bachelors,2,4.0,8,3.0,Housing.com
18231.0,37751.0,ECR,2,944,Semi-Furnished,Family,2,7.0,12,2.0,MagicBricks
